CID,Username,Password,Signature,Type,FirstName,LastName,ClientID,ClientSecret
19,PPan,NotTelling,Where is Tinker?,User,Peter,Pan,aada33e68e19d4bafbe6f1ef74c234e5,aa36720d8361466607fd8ce9b819e6bd37d0218b3a7998fe9cce727abb5bef8b
20,CHook,JollyRoger,Gator-hater,User,Captain,Hook,80a0684fed058e58ea54461a4a3685ec,f0aae0fe63c454d3cf3fc3930829feb01658fcfeebffd6e8938c74013764e64a
21,james,i<3devs,Occupation: Researcher,User,James,Jardine,1f9edcb499433ac98b7e7cba72df1a21,cded63cdc7756577d4cdc43c7382a9f498b1560783278ad6a85551cf9420cfaa
22,ed,pentest,Commandline KungFu anyone?,User,Ed,Skoudis,7631d2b076cf827015103bd0f1bb39a0,429948373b9ec5a47c1cbf95bd159aa6484c5e3e26c26b8204fbd4b1cf5dadad
23,joe,holly,Off by one error,User,Joe,Holly,b2235843edb39cec9163ad30048868a6,77e68feaf43783b84097be593ac551d7363ae3e4c1642c5bae6372b4ac4f18a4
24,peter,initech123,I dont like my job,User,Peter,Gibbons,ae94d7f3877fd6f058d9948f7b5a7a4c,c9f175926601d14a88a63da324aaf0a58f1a25325d64ba8eb8419a61826f8827
25,milton,stapler,Wheres my stapler?,User,Milton,Waddams,6ca123296442b82696862528c7efc446,1e948b5c4ef43254a1b781ba83f890713df9ddbe94974877049462b611e02e6a
26,bill,tpsreports,Did you get the memo?,User,Bill,Lumbergh,bcab63d96f0b1f20a00649269dcd06ff,556506dba4cf0c99a603946a2932ce97dbcb1d9b518f888882c70aad01f56d04
27,samir,nojoke123,No one can pronounce my last name,User,Samir,Nagheenanajar,1b28b85edac7acb168bbc717a80e838a,1e3d8605b950ecc9e257b55a98bb065f3ea14b9356c9ce084d2345639cee4de4
28,michael_b,michael123,We fixed the glitch,User,Michael,Bolton,2887c0814a04260346bc4511d3d1a43c,e86213302dd6bddbb5f41cc9a9a9b2b2156bbe3209f014cb4c1cfe24933034a0
29,michael_s,worldsbestboss,Worlds Best Boss,User,Michael,Scott,c0c8dcd4cd8ce5a55fc6edce98d9fafe,c3d8932773a6d60eca9e128f5a7564c85f68a7e19eec3d596092e70fd3c10725
30,jim,bearsbeatsbattlestar,Pranking Dwight,User,Jim,Halpert,fa5654bc47c5be35b561e59a9d461c6f,e6dc1ac532be2604fae1994e415adeed4cd7165da64b5967642ec0f93f534e5b
31,dwight,assistant_to_the_regional_manager,Bears. Beets. Battlestar Galactica.,User,Dwight,Schrute,c30b3477a141d1b9de81364a06ee36d8,127776507d4f9e57d8f6510babdb7ea5b50bf046d8685eac61ee4d633593f43b
32,pam,pammy123,Dunder Mifflin,User,Pam,Beesly,07138b1774bb962efa727a3ce3d4120f,ded9eb04393fa710987395ba4b31a17d8d77741aba867e1c7c50b5c176146c46
33,ryan,temp123,I am the temp,User,Ryan,Howard,b9f410558d116c3d579840a302c205ff,fffb2f679f405b420d805d19394c5cb94cfe84c6d22008c8ac349f8c0556daff
34,derek,bluestrike,Im pretty sure theres more to life than being really, really ridiculously good looking,User,Derek,Zoolander,d325f999d3aeb70c4bd0523eb863623b,86e3278be20e000f7496ce04836ab8f25db0e5acbfa3cc60195a0598598e0351
35,hansel,hansel123,Hansel. Hes so hot right now.,User,Hansel,,5b1dc4f37df333ee10162f5c6c7f5642,728f34d24e3a36a96c7a45648ed6999ab14ea53553f33b86a40a41fe18eab2cd
36,mugatu,mugatu123,I invented the piano key necktie!,User,Jacobim,Mugatu,bf0894f8c6e898a2b293f189d4064fa0,3b598c6c4a4d7cc05bbf17d781feb5b9c537a3a783dfaca76dbd65a315de3822
37,matilda,journalist123,Investigative reporter,User,Matilda,Jeffries,16be8e68060827ca373bcd1e23861e02,1d81e85bebdcba672cc10254fa6b0d74ea0545967b41876543ab280307ce0964
38,stackhawk,Kaakaww,Swooping in for security,User,Stack,Hawk,a1377906377131d0d85163847fd75ed4,3340c360c3d235a676ba7cd179b349ac4345a80493246f757d475f972c9cb70d
39,zoolander,zoolander123,I am really, really, really, ridiculously good looking,User,Derek,Zoolander,d79fee9719b818929303f424beede273,9c0d3637b95f44b499347f57dc35c705634400c72549ccea8f3c0a2214395479
40,maury,maury123,Youre the guy who cant turn left,User,Maury,Ballstein,3ba060912374a01ce855334cb6f7516b,f27a495db053831851b94ad7c910b1986dc1d27279a489f2ffa700635306fc81
